Dependency=Heating Fuel	Dependency=HVAC System Heating Type	Option=None	Option=Electric Boiler	Option=Electric Furnace	Option=Electric Baseboard	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	Option=MSHP, SEER 14.5, 8.2 HSPF	Option=MSHP, SEER 29.3, 14 HSPF	resstock_probability
Electricity	Shared Heating System	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	Heat Pump, Ducted	0	0.0	0	0.0	0.33	0.33	0.34	0.0	0.0	0.14741200000000002
Electricity	Heat Pump, Mini-split	0	0.0	0	0.0	0.0	0.0	0.0	0.5	0.5	0.14741200000000002
Electricity	Central Ducted	0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	Central Non-Ducted	0	0.5	0	0.5	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	None	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Natural Gas	Shared Heating System	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04236012
Natural Gas	Heat Pump, Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Natural Gas	Heat Pump, Mini-split	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Natural Gas	Central Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04236012
Natural Gas	Central Non-Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.043643760000000004
Natural Gas	None	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other Fuel	Shared Heating System	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341616
Other Fuel	Heat Pump, Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other Fuel	Heat Pump, Mini-split	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other Fuel	Central Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341616
Other Fuel	Central Non-Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035196800000000003
Other Fuel	None	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Shared Heating System	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Heat Pump, Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Heat Pump, Mini-split	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Central Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Central Non-Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
None	None	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propane	Shared Heating System	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04099392
Propane	Heat Pump, Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propane	Heat Pump, Mini-split	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propane	Central Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04099392
Propane	Central Non-Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04223616
Propane	None	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fuel Oil	Shared Heating System	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fuel Oil	Heat Pump, Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fuel Oil	Heat Pump, Mini-split	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fuel Oil	Central Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fuel Oil	Central Non-Ducted	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fuel Oil	None	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
